time,leftVelocity,rightVelocity,leftPosition,rightPosition,x,y
0.1,1,1,0.1,0.1,0,7.5
0.2,2,2,0.3,0.3,0,7.7
0.3,3,3,0.6,0.6,0,8
0.4,4,4,1,1,0,8.4
0.5,5,5,1.5,1.5,0,8.9
0.6,5.41,5.41,2.041,2.041,0,9.441
0.7,5.41,5.41,2.582,2.582,0,9.982
0.8,5.41,5.41,3.123,3.123,0,10.523
0.9,5.41,5.41,3.664,3.664,0,11.064
1,5.41,5.41,4.205,4.205,0,11.605
1.1,5.41,5.41,4.746,4.746,0,12.146
1.2,5.41,5.41,5.287,5.287,0,12.687
1.3,5.41,5.41,5.828,5.828,0,13.228
1.4,5.41,5.41,6.369,6.369,0,13.769
1.5,5.41,5.41,6.91,6.91,0,14.31
1.6,5.41,5.41,7.451,7.451,0,14.851
1.7,5.41,5.41,7.992,7.992,0,15.392
1.8,5.41,5.41,8.533,8.533,0,15.933
1.9,5.41,5.41,9.074,9.074,0,16.474
2,5.41,5.41,9.615,9.615,0,17.015
2.1,5.41,5.41,10.156,10.156,0,17.556
2.2,5.41,5.41,10.697,10.697,0,18.097
2.3,5.41,5.41,11.238,11.238,0,18.638
2.4,5.41,5.41,11.779,11.779,0,19.179
2.5,5.41,5.41,12.32,12.32,0,19.72
2.6,5.41,5.41,12.861,12.861,0,20.261
2.7,5.41,5.41,13.402,13.402,0,20.802
2.8,5.41,5.41,13.943,13.943,0,21.343
2.9,5.41,5.41,14.484,14.484,0,21.884
3,5.41,5.41,15.025,15.025,0,22.425
3.1,5.41,5.41,15.566,15.566,0,22.966
3.2,5.41,5.41,16.107,16.107,0,23.507
3.3,5.41,5.41,16.648,16.648,0,24.048
3.4,5.41,5.41,17.189,17.189,0,24.589
3.5,5.41,5.41,17.73,17.73,0,25.13
3.6,5.41,5.41,18.271,18.271,0,25.671
3.7,5.41,5.41,18.812,18.812,0,26.212
3.8,5.41,5.41,19.353,19.353,0,26.753
3.9,5.41,5.41,19.894,19.894,0,27.294
4,5.41,5.41,20.435,20.435,0,27.835
4.1,5.41,5.41,20.976,20.976,0,28.376
4.2,5.41,5.41,21.517,21.517,0,28.917
4.3,5.41,5.41,22.058,22.058,0,29.458
4.4,5.41,5.41,22.599,22.599,0,29.999
4.5,5.41,5.41,23.14,23.14,0,30.54
4.6,5.41,5.41,23.681,23.681,0,31.081
4.7,5.41,5.41,24.222,24.222,0,31.622
4.8,5.41,5.41,24.763,24.763,0,32.163
4.9,5.41,5.41,25.304,25.304,0,32.704
5,5.41,5.41,25.845,25.845,0,33.245
5.1,5.41,5.41,26.386,26.386,0,33.786
5.2,5.27,5.27,26.913,26.913,0,34.313
5.3,5.27,5.27,27.44,27.44,0,34.84
5.4,5.27,5.27,27.967,27.967,0,35.367
5.5,5.27,5.27,28.494,28.494,0,35.894
5.6,5.27,5.27,29.021,29.021,0,36.421
5.7,5.27,5.27,29.548,29.548,0,36.948
5.8,5.27,5.27,30.075,30.075,0,37.475
5.9,4.88,4.88,30.563,30.563,0,37.963
6,4.88,4.88,31.051,31.051,0,38.451
6.1,4.88,4.88,31.539,31.539,0,38.939
6.2,4.88,4.88,32.027,32.027,0,39.427
