time,leftVelocity,rightVelocity,leftPosition,rightPosition,x,y,
0.1,2.24492,-0.24492,0.22449,-0.02449,20.00000,10.00000,
0.2,3.74901,-0.40901,0.59939,-0.06539,20.00694,10.16686,
0.3,3.54982,-0.20982,0.95438,-0.08638,20.02015,10.33333,
0.4,3.37127,-0.03127,1.29150,-0.08950,20.03901,10.49926,
0.5,3.21116,0.12884,1.61262,-0.07662,20.06298,10.66453,
0.6,3.06751,0.27249,1.91937,-0.04937,20.09156,10.82907,
0.7,2.93857,0.40143,2.21323,-0.00923,20.12431,10.99283,
0.8,2.31073,0.38927,2.44430,0.02970,20.15331,11.12468,
0.9,2.29995,0.40005,2.67429,0.06971,20.18482,11.25595,
1.0,2.28616,0.41384,2.90291,0.11109,20.21878,11.38661,
1.1,2.28249,0.41751,3.13116,0.15284,20.25517,11.51661,
1.2,2.27687,0.42313,3.35884,0.19516,20.29396,11.64592,
1.3,2.26902,0.43098,3.58575,0.23825,20.33513,11.77449,
1.4,2.25922,0.44078,3.81167,0.28233,20.37862,11.90229,
1.5,2.24770,0.45230,4.03644,0.32756,20.42441,12.02929,
1.6,2.23468,0.46532,4.25991,0.37409,20.47243,12.15546,
1.7,2.22037,0.47963,4.48194,0.42206,20.52264,12.28077,
1.8,2.20494,0.49506,4.70244,0.47156,20.57498,12.40521,
1.9,2.18856,0.51144,4.92129,0.52271,20.62941,12.52875,
2.0,2.17139,0.52861,5.13843,0.57557,20.68586,12.65139,
2.1,2.15356,0.54644,5.35379,0.63021,20.74427,12.77310,
2.2,2.13521,0.56479,5.56731,0.68669,20.80459,12.89387,
2.3,2.11646,0.58354,5.77896,0.74504,20.86674,13.01371,
2.4,2.09740,0.60260,5.98870,0.80530,20.93069,13.13261,
2.5,2.97267,0.78733,6.28596,0.88404,21.02333,13.29619,
2.6,3.02937,0.73063,6.58890,0.95710,21.11971,13.45761,
2.7,3.06484,0.69516,6.89539,1.02661,21.21989,13.61670,
2.8,3.08331,0.67669,7.20372,1.09428,21.32387,13.77332,
2.9,3.07097,0.68903,7.51081,1.16319,21.43155,13.92743,
3.0,3.04141,0.71859,7.81495,1.23505,21.54278,14.07900,
3.1,3.01154,0.74846,8.11611,1.30989,21.65741,14.22801,
3.2,2.98139,0.77861,8.41425,1.38775,21.77529,14.37446,
3.3,2.95099,0.80901,8.70935,1.46865,21.89628,14.51835,
3.4,2.92041,0.83959,9.00139,1.55261,22.02024,14.65969,
3.5,2.88970,0.87030,9.29036,1.63964,22.14703,14.79850,
3.6,2.85894,0.90106,9.57625,1.72975,22.27652,14.93480,
3.7,4.37843,1.38157,10.01409,1.86791,22.48104,15.13757,
3.8,5.91312,1.84688,10.60541,2.05259,22.76746,15.39931,
3.9,6.06435,1.93565,11.21184,2.24616,23.07362,15.65673,
4.0,5.99006,2.00994,11.81085,2.44715,23.38979,15.90176,
4.1,5.82497,2.17503,12.39334,2.66466,23.71468,16.13510,
4.2,5.66683,2.33317,12.96003,2.89797,24.04717,16.35747,
4.3,5.53193,2.46807,13.51322,3.14478,24.38631,16.56956,
4.4,4.96539,2.35461,14.00976,3.38024,24.70159,16.75545,
4.5,4.91645,2.40355,14.50140,3.62060,25.02144,16.93336,
4.6,4.86380,2.45620,14.98778,3.86622,25.34548,17.10351,
4.7,4.78975,2.53025,15.46676,4.11924,25.67328,17.26631,
4.8,4.70315,2.61685,15.93707,4.38093,26.00441,17.42223,
4.9,4.62939,2.69061,16.40001,4.64999,26.33850,17.57170,
5.0,4.56562,2.75438,16.85657,4.92543,26.67524,17.71510,
5.1,4.50956,2.81044,17.30753,5.20647,27.01437,17.85275,
5.2,4.45949,2.86051,17.75348,5.49252,27.35565,17.98497,
5.3,4.41406,2.90594,18.19489,5.78311,27.69889,18.11202,
5.4,3.74849,2.57151,18.56973,6.04027,27.99651,18.21822,
5.5,3.69517,2.62483,18.93925,6.30275,28.29525,18.32123,
